REQ.IDs,TEST.IDs,DEF.IDs
REQ_072,TEST_0105,DEFECT_007
REQ_037,TEST_0046,DEFECT_005
REQ_069,TEST_0098,
REQ_010,TEST_0018,
REQ_005,TEST_0005,
REQ_016,TEST_0024,
REQ_035,TEST_0045,
REQ_007,TEST_0011,
REQ_006,TEST_0009,
REQ_040,TEST_0053,
REQ_019,TEST_0028,
REQ_036,,
REQ_039,TEST_0051,
REQ_014,,
REQ_038,TEST_0047,
REQ_075,TEST_0110,
REQ_057,TEST_0080,
REQ_079,TEST_0119,
REQ_009,TEST_0017,
REQ_005,TEST_0006,
REQ_034,TEST_0044,DEFECT_004
REQ_078,TEST_0116,
REQ_073,TEST_0108,
REQ_049,TEST_0067,
REQ_045,TEST_0060,
REQ_019,TEST_0026,
REQ_078,TEST_0117,
REQ_044,TEST_0059,
REQ_098,TEST_0145,
REQ_052,TEST_0073,
REQ_091,TEST_0138,
REQ_003,TEST_0004,
REQ_084,TEST_0125,
REQ_054,TEST_0077,
REQ_094,TEST_0142,
REQ_088,TEST_0132,
REQ_088,TEST_0131,
REQ_071,TEST_0101,
REQ_077,TEST_0115,DEFECT_008
REQ_061,TEST_0085,
REQ_004,,
REQ_051,TEST_0072,
REQ_008,TEST_0015,
REQ_049,TEST_0068,
REQ_042,TEST_0055,
REQ_056,TEST_0079,
REQ_085,TEST_0127,
REQ_086,TEST_0129,
REQ_096,TEST_0143,
REQ_028,TEST_0039,
REQ_060,TEST_0083,
REQ_059,TEST_0082,
REQ_031,TEST_0041,
REQ_086,TEST_0128,
REQ_030,TEST_0040,
REQ_060,TEST_0084,
REQ_034,TEST_0043,
REQ_073,TEST_0106,
REQ_063,TEST_0089,
REQ_017,TEST_0025,
REQ_062,TEST_0087,DEFECT_006
REQ_071,TEST_0100,
REQ_091,TEST_0139,
REQ_067,TEST_0094,
REQ_012,TEST_0021,
REQ_041,TEST_0054,
REQ_055,TEST_0078,
REQ_087,,
REQ_006,TEST_0008,
REQ_063,TEST_0088,
REQ_047,TEST_0065,
REQ_006,TEST_0010,DEFECT_002
REQ_048,TEST_0066,
REQ_050,TEST_0069,
REQ_005,TEST_0007,DEFECT_001
REQ_019,TEST_0027,
REQ_084,TEST_0126,DEFECT_009
REQ_032,,
REQ_083,TEST_0124,
REQ_002,TEST_0003,
REQ_042,TEST_0056,
REQ_028,TEST_0038,
REQ_051,TEST_0070,
REQ_069,TEST_0097,
REQ_099,TEST_0147,
REQ_046,TEST_0063,
REQ_070,TEST_0099,
REQ_033,TEST_0042,
REQ_011,TEST_0019,
REQ_015,,
REQ_051,TEST_0071,
REQ_074,TEST_0109,
REQ_054,TEST_0075,
REQ_025,TEST_0035,
REQ_098,TEST_0146,
REQ_007,TEST_0013,
REQ_066,TEST_0093,
REQ_012,TEST_0022,
REQ_081,TEST_0122,
REQ_044,TEST_0058,
REQ_020,TEST_0030,
REQ_089,TEST_0134,
REQ_076,TEST_0112,
REQ_001,TEST_0001,
REQ_040,TEST_0052,
REQ_011,TEST_0020,
REQ_038,TEST_0049,
REQ_024,TEST_0034,
REQ_095,,
REQ_029,,
REQ_054,TEST_0076,
REQ_082,,
REQ_021,TEST_0031,
REQ_063,TEST_0090,
REQ_046,TEST_0062,
REQ_073,TEST_0107,
REQ_097,TEST_0144,
REQ_008,TEST_0014,
REQ_088,TEST_0133,
REQ_058,TEST_0081,
REQ_002,TEST_0002,
REQ_076,TEST_0114,
REQ_072,TEST_0104,
REQ_047,TEST_0064,
REQ_079,TEST_0118,
REQ_020,TEST_0029,
REQ_090,TEST_0136,
REQ_076,TEST_0113,
REQ_064,TEST_0091,
REQ_065,TEST_0092,
REQ_009,TEST_0016,
REQ_071,TEST_0102,
REQ_027,TEST_0037,
REQ_026,TEST_0036,
REQ_018,,
REQ_007,TEST_0012,
REQ_013,TEST_0023,DEFECT_003
REQ_079,TEST_0120,
REQ_083,TEST_0123,
REQ_092,TEST_0140,
REQ_039,TEST_0050,
REQ_062,TEST_0086,
REQ_069,TEST_0096,
REQ_072,TEST_0103,
REQ_093,TEST_0141,
REQ_086,TEST_0130,DEFECT_010
REQ_089,TEST_0135,
REQ_043,TEST_0057,
REQ_022,TEST_0032,
REQ_046,TEST_0061,
REQ_023,TEST_0033,
REQ_075,TEST_0111,
REQ_068,TEST_0095,
REQ_080,TEST_0121,
REQ_100,TEST_0148,
REQ_053,TEST_0074,
REQ_091,TEST_0137,
REQ_038,TEST_0048,
REQ_005,TEST_9999,
REQ_005,TEST_9998,
REQ_005,TEST_9997,
